"grahami","opalinus","height","diameter","light","time"
20,2,"<5ft","<=2in","sunny","early"
8,1,"<5ft","<=2in","sunny","midday"
4,4,"<5ft","<=2in","sunny","late"
13,0,">=5ft","<=2in","sunny","early"
8,0,">=5ft","<=2in","sunny","midday"
12,0,">=5ft","<=2in","sunny","late"
8,3,"<5ft",">2in","sunny","early"
4,1,"<5ft",">2in","sunny","midday"
5,3,"<5ft",">2in","sunny","late"
6,0,">=5ft",">2in","sunny","early"
1,1,">=5ft",">2in","sunny","late"
34,11,"<5ft","<=2in","shady","early"
69,20,"<5ft","<=2in","shady","midday"
18,10,"<5ft","<=2in","shady","late"
31,5,">=5ft","<=2in","shady","early"
55,4,">=5ft","<=2in","shady","midday"
13,3,">=5ft","<=2in","shady","late"
17,15,"<5ft",">2in","shady","early"
60,32,"<5ft",">2in","shady","midday"
8,8,"<5ft",">2in","shady","late"
12,1,">=5ft",">2in","shady","early"
21,5,">=5ft",">2in","shady","midday"
4,4,">=5ft",">2in","shady","late"
