"ID","Species","Order","Stimulus","Response"
1,"T","WHC",1,1
1,"T","WHC",2,1
1,"T","WHC",3,0
1,"T","WHC",4,1
2,"T","WHC",1,2
2,"T","WHC",2,1
2,"T","WHC",3,0
2,"T","WHC",4,1
3,"T","WHC",1,0
3,"T","WHC",2,1
3,"T","WHC",3,0
3,"T","WHC",4,2
4,"T","WHC",1,1
4,"T","WHC",2,1
4,"T","WHC",3,0
4,"T","WHC",4,2
5,"T","HWC",1,1
5,"T","HWC",2,1
5,"T","HWC",3,0
5,"T","HWC",4,1
6,"T","HWC",1,1
6,"T","HWC",2,0
6,"T","HWC",3,0
6,"T","HWC",4,2
7,"T","HWC",1,0
7,"T","HWC",2,1
7,"T","HWC",3,0
7,"T","HWC",4,1
8,"T","HWC",1,2
8,"T","HWC",2,0
8,"T","HWC",3,0
8,"T","HWC",4,2
9,"X","HWC",1,0
9,"X","HWC",2,0
9,"X","HWC",3,1
9,"X","HWC",4,1
10,"X","HWC",1,0
10,"X","HWC",2,0
10,"X","HWC",3,0
10,"X","HWC",4,1
11,"X","HWC",1,1
11,"X","HWC",2,1
11,"X","HWC",3,1
11,"X","HWC",4,1
12,"X","HWC",1,0
12,"X","HWC",2,0
12,"X","HWC",3,1
12,"X","HWC",4,0
13,"X","WHC",1,0
13,"X","WHC",2,1
13,"X","WHC",3,1
13,"X","WHC",4,0
14,"X","WHC",1,1
14,"X","WHC",2,0
14,"X","WHC",3,1
14,"X","WHC",4,1
15,"X","WHC",1,0
15,"X","WHC",2,1
15,"X","WHC",3,0
15,"X","WHC",4,1
16,"X","WHC",1,0
16,"X","WHC",2,0
16,"X","WHC",3,1
16,"X","WHC",4,2
